IMAGE, DETECTOR, DESCRIPTOR, MATCHER, SELECTOR, #KEYPOINTS, #KEYPOINTS ON VEHICLE, #MATCHED KEYPOINTS, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHER ELAPSED TIME
9, AKAZE, AKAZE, MAT_BF, SEL_KNN, 32766, 0, 0, 1.01856e-312, 0, 6.95312e-310
0, AKAZE, SIFT, MAT_BF, SEL_KNN, -460823792, 4, 0, 1.4822e-323, 0, 0
1, AKAZE, SIFT, MAT_BF, SEL_KNN, 32766, 0, 0, 1.87745e-322, 0, 6.95312e-310
2, AKAZE, SIFT, MAT_BF, SEL_KNN, 5, 1413892435, 0, 6.95312e-310, 2.3342e-312, 6.95312e-310
3, AKAZE, SIFT, MAT_BF, SEL_KNN, 0, 0, 0, 0, 0, 2.14208e-317
4, AKAZE, SIFT, MAT_BF, SEL_KNN, 1514228545, 0, 0, 0, 0, 6.95312e-310
5, AKAZE, SIFT, MAT_BF, SEL_KNN, 69, 0, 0, 0, 2.63127e-312, 6.95312e-310
6, AKAZE, SIFT, MAT_BF, SEL_KNN, 0, -460823728, 0, -nan, 0, 6.95312e-310
7, AKAZE, SIFT, MAT_BF, SEL_KNN, 0, 32766, 0, 6.95312e-310, 0, 2.13996e-317
8, AKAZE, SIFT, MAT_BF, SEL_KNN, -460823760, 4, 0, 0, 0, 2.11747e-317
9, AKAZE, SIFT, MAT_BF, SEL_KNN, 32766, 0, 0, 1.01856e-312, 0, 6.95312e-310
0, SIFT, BRISK, MAT_BF, SEL_KNN, -460823792, 4, 0, 1.4822e-323, 0, 0
1, SIFT, BRISK, MAT_BF, SEL_KNN, 32766, 0, 0, 1.87745e-322, 0, 6.95312e-310
2, SIFT, BRISK, MAT_BF, SEL_KNN, 5, 1413892435, 0, 6.95312e-310, 2.3342e-312, 6.95312e-310
3, SIFT, BRISK, MAT_BF, SEL_KNN, 0, 0, 0, 0, 0, 2.14208e-317
4, SIFT, BRISK, MAT_BF, SEL_KNN, 1514228545, 0, 0, 0, 0, 6.95312e-310
5, SIFT, BRISK, MAT_BF, SEL_KNN, 69, 0, 0, 0, 2.63127e-312, 6.95312e-310
6, SIFT, BRISK, MAT_BF, SEL_KNN, 0, -460823728, 0, -nan, 0, 6.95312e-310
7, SIFT, BRISK, MAT_BF, SEL_KNN, 0, 32766, 0, 6.95312e-310, 0, 2.13996e-317
8, SIFT, BRISK, MAT_BF, SEL_KNN, -460823760, 4, 0, 0, 0, 2.11747e-317
9, SIFT, BRISK, MAT_BF, SEL_KNN, 32766, 0, 0, 1.01856e-312, 0, 6.95312e-310
0, SIFT, BRIEF, MAT_BF, SEL_KNN, -460823792, 4, 0, 1.4822e-323, 0, 0
1, SIFT, BRIEF, MAT_BF, SEL_KNN, 32766, 0, 0, 1.87745e-322, 0, 6.95312e-310
2, SIFT, BRIEF, MAT_BF, SEL_KNN, 5, 1413892435, 0, 6.95312e-310, 2.3342e-312, 6.95312e-310
3, SIFT, BRIEF, MAT_BF, SEL_KNN, 0, 0, 0, 0, 0, 2.14208e-317
4, SIFT, BRIEF, MAT_BF, SEL_KNN, 1514228545, 0, 0, 0, 0, 6.95312e-310
5, SIFT, BRIEF, MAT_BF, SEL_KNN, 69, 0, 0, 0, 2.63127e-312, 6.95312e-310
6, SIFT, BRIEF, MAT_BF, SEL_KNN, 0, -460823728, 0, -nan, 0, 6.95312e-310
7, SIFT, BRIEF, MAT_BF, SEL_KNN, 0, 32766, 0, 6.95312e-310, 0, 2.13996e-317
8, SIFT, BRIEF, MAT_BF, SEL_KNN, -460823760, 4, 0, 0, 0, 2.11747e-317
9, SIFT, BRIEF, MAT_BF, SEL_KNN, 32766, 0, 0, 1.01856e-312, 0, 6.95312e-310
0, SIFT, FREAK, MAT_BF, SEL_KNN, -460823792, 4, 0, 1.4822e-323, 0, 0
1, SIFT, FREAK, MAT_BF, SEL_KNN, 32766, 0, 0, 1.87745e-322, 0, 6.95312e-310
2, SIFT, FREAK, MAT_BF, SEL_KNN, 5, 1413892435, 0, 6.95312e-310, 2.3342e-312, 6.95312e-310
3, SIFT, FREAK, MAT_BF, SEL_KNN, 0, 0, 0, 0, 0, 2.14208e-317
4, SIFT, FREAK, MAT_BF, SEL_KNN, 1514228545, 0, 0, 0, 0, 6.95312e-310
5, SIFT, FREAK, MAT_BF, SEL_KNN, 69, 0, 0, 0, 2.63127e-312, 6.95312e-310
6, SIFT, FREAK, MAT_BF, SEL_KNN, 0, -460823728, 0, -nan, 0, 6.95312e-310
7, SIFT, FREAK, MAT_BF, SEL_KNN, 0, 32766, 0, 6.95312e-310, 0, 2.13996e-317
8, SIFT, FREAK, MAT_BF, SEL_KNN, -460823760, 4, 0, 0, 0, 2.11747e-317
9, SIFT, FREAK, MAT_BF, SEL_KNN, 32766, 0, 0, 1.01856e-312, 0, 6.95312e-310
0, SIFT, SIFT, MAT_BF, SEL_KNN, -460823792, 4, 0, 1.4822e-323, 0, 0
1, SIFT, SIFT, MAT_BF, SEL_KNN, 32766, 0, 0, 1.87745e-322, 0, 6.95312e-310
2, SIFT, SIFT, MAT_BF, SEL_KNN, 5, 1413892435, 0, 6.95312e-310, 2.3342e-312, 6.95312e-310
3, SIFT, SIFT, MAT_BF, SEL_KNN, 0, 0, 0, 0, 0, 2.14208e-317
4, SIFT, SIFT, MAT_BF, SEL_KNN, 1514228545, 0, 0, 0, 0, 6.95312e-310
5, SIFT, SIFT, MAT_BF, SEL_KNN, 69, 0, 0, 0, 2.63127e-312, 6.95312e-310
6, SIFT, SIFT, MAT_BF, SEL_KNN, 0, -460823728, 0, -nan, 0, 6.95312e-310
7, SIFT, SIFT, MAT_BF, SEL_KNN, 0, 32766, 0, 6.95312e-310, 0, 2.13996e-317
8, SIFT, SIFT, MAT_BF, SEL_KNN, -460823760, 4, 0, 0, 0, 2.11747e-317
9, SIFT, SIFT, MAT_BF, SEL_KNN, 32766, 0, 0, 1.01856e-312, 0, 6.95312e-310
