IMAGE, DETECTOR, DESCRIPTOR, MATCHER, SELECTOR, #KEYPOINTS, #KEYPOINTS ON VEHICLE, #DESCRIPTORS, #MATCHED KEYPOINTS, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHER ELAPSED TIME
8, ORB, ORB, MAT_BF, SEL_KNN, 500, 127, 4064, 93, 7.85272, 6.64779, 0.844863
9, ORB, ORB, MAT_BF, SEL_KNN, 500, 128, 4096, 93, 7.92108, 4.84178, 0.580039
0, ORB, FREAK, MAT_BF, SEL_KNN, 500, 92, 2944, 0, 8.95824, 49.2709, 0
1, ORB, FREAK, MAT_BF, SEL_KNN, 500, 102, 3392, 42, 8.27402, 48.4493, 0.1826
2, ORB, FREAK, MAT_BF, SEL_KNN, 500, 106, 3584, 36, 10.7922, 48.8719, 0.249064
3, ORB, FREAK, MAT_BF, SEL_KNN, 500, 113, 4160, 44, 10.9354, 51.2131, 0.23042
4, ORB, FREAK, MAT_BF, SEL_KNN, 500, 109, 3520, 47, 8.57811, 48.9727, 0.237629
5, ORB, FREAK, MAT_BF, SEL_KNN, 500, 125, 4096, 44, 8.51352, 49.2001, 0.210863
6, ORB, FREAK, MAT_BF, SEL_KNN, 500, 130, 4224, 51, 8.57515, 49.8036, 0.234565
7, ORB, FREAK, MAT_BF, SEL_KNN, 500, 129, 4544, 52, 8.60554, 50.5082, 0.270715
8, ORB, FREAK, MAT_BF, SEL_KNN, 500, 127, 4672, 48, 8.86172, 51.5566, 0.311357
9, ORB, FREAK, MAT_BF, SEL_KNN, 500, 128, 4544, 56, 8.78161, 49.7227, 0.274887
0, ORB, SIFT, MAT_BF, SEL_KNN, 500, 92, 11776, 0, 8.68245, 67.1406, 0
1, ORB, SIFT, MAT_BF, SEL_KNN, 500, 102, 13056, 67, 9.30125, 69.8034, 0.448085
2, ORB, SIFT, MAT_BF, SEL_KNN, 500, 106, 13568, 79, 8.69953, 75.9393, 0.65657
3, ORB, SIFT, MAT_BF, SEL_KNN, 500, 113, 14464, 78, 9.93003, 76.9035, 0.671847
4, ORB, SIFT, MAT_BF, SEL_KNN, 500, 109, 13952, 79, 10.1204, 72.4348, 0.568404
5, ORB, SIFT, MAT_BF, SEL_KNN, 500, 125, 16000, 82, 10.621, 73.3085, 0.637622
6, ORB, SIFT, MAT_BF, SEL_KNN, 500, 130, 16640, 95, 9.95803, 79.7118, 0.69563
7, ORB, SIFT, MAT_BF, SEL_KNN, 500, 129, 16512, 95, 8.76069, 83.6224, 0.756142
8, ORB, SIFT, MAT_BF, SEL_KNN, 500, 127, 16256, 94, 10.2323, 94.5829, 0.728455
9, ORB, SIFT, MAT_BF, SEL_KNN, 500, 128, 16384, 94, 10.202, 84.4432, 0.736367
0, AKAZE, BRISK, MAT_BF, SEL_KNN, 1351, 166, 10624, 0, 119.519, 2.10482, 0
1, AKAZE, BRISK, MAT_BF, SEL_KNN, 1327, 157, 10048, 137, 109.691, 2.94308, 0.873701
2, AKAZE, BRISK, MAT_BF, SEL_KNN, 1311, 161, 10304, 125, 127.413, 3.01226, 0.824569
3, AKAZE, BRISK, MAT_BF, SEL_KNN, 1351, 155, 9920, 129, 116.322, 3.14519, 0.850556
4, AKAZE, BRISK, MAT_BF, SEL_KNN, 1360, 163, 10432, 129, 117.42, 3.02042, 0.824884
5, AKAZE, BRISK, MAT_BF, SEL_KNN, 1347, 164, 10496, 131, 115.521, 3.05296, 0.885508
6, AKAZE, BRISK, MAT_BF, SEL_KNN, 1363, 173, 11072, 132, 117.647, 3.13387, 0.902792
7, AKAZE, BRISK, MAT_BF, SEL_KNN, 1331, 175, 11200, 142, 119.821, 3.25187, 0.958628
8, AKAZE, BRISK, MAT_BF, SEL_KNN, 1357, 177, 11328, 146, 116.037, 2.23656, 0.986693
9, AKAZE, BRISK, MAT_BF, SEL_KNN, 1331, 179, 11456, 144, 120.351, 2.28423, 1.0183
0, AKAZE, BRIEF, MAT_BF, SEL_KNN, 1351, 166, 5312, 0, 117.633, 0.871461, 0
1, AKAZE, BRIEF, MAT_BF, SEL_KNN, 1327, 157, 5024, 141, 107.524, 1.88272, 0.787326
2, AKAZE, BRIEF, MAT_BF, SEL_KNN, 1311, 161, 5152, 134, 126.936, 1.95994, 0.7924
3, AKAZE, BRIEF, MAT_BF, SEL_KNN, 1351, 155, 4960, 131, 121.892, 1.81712, 0.771429
4, AKAZE, BRIEF, MAT_BF, SEL_KNN, 1360, 163, 5216, 130, 123.848, 0.910322, 0.784087
5, AKAZE, BRIEF, MAT_BF, SEL_KNN, 1347, 164, 5248, 134, 118.656, 1.82992, 0.828615
6, AKAZE, BRIEF, MAT_BF, SEL_KNN, 1363, 173, 5536, 146, 126.01, 1.85876, 0.846568
7, AKAZE, BRIEF, MAT_BF, SEL_KNN, 1331, 175, 5600, 150, 125.833, 1.97322, 0.907987
8, AKAZE, BRIEF, MAT_BF, SEL_KNN, 1357, 177, 5664, 148, 130.045, 2.04804, 0.931011
9, AKAZE, BRIEF, MAT_BF, SEL_KNN, 1331, 179, 5728, 152, 124.486, 1.96419, 0.976707
0, AKAZE, ORB, MAT_BF, SEL_KNN, 1351, 166, 5312, 0, 121.96, 3.57504, 0
1, AKAZE, ORB, MAT_BF, SEL_KNN, 1327, 157, 5024, 131, 118.746, 4.27811, 0.80779
2, AKAZE, ORB, MAT_BF, SEL_KNN, 1311, 161, 5152, 129, 117.852, 4.90008, 0.803201
3, AKAZE, ORB, MAT_BF, SEL_KNN, 1351, 155, 4960, 127, 121.074, 4.14392, 0.80709
4, AKAZE, ORB, MAT_BF, SEL_KNN, 1360, 163, 5216, 117, 118.591, 3.22403, 0.813586
5, AKAZE, ORB, MAT_BF, SEL_KNN, 1347, 164, 5248, 130, 116.522, 4.01669, 0.910819
6, AKAZE, ORB, MAT_BF, SEL_KNN, 1363, 173, 5536, 131, 120.682, 3.19254, 0.881744
7, AKAZE, ORB, MAT_BF, SEL_KNN, 1331, 175, 5600, 137, 119.141, 3.19303, 0.937378
8, AKAZE, ORB, MAT_BF, SEL_KNN, 1357, 177, 5664, 135, 117.704, 3.32692, 0.963285
9, AKAZE, ORB, MAT_BF, SEL_KNN, 1331, 179, 5728, 145, 120.414, 3.1846, 1.04779
0, AKAZE, FREAK, MAT_BF, SEL_KNN, 1351, 166, 10624, 0, 121.17, 51.7233, 0
1, AKAZE, FREAK, MAT_BF, SEL_KNN, 1327, 157, 10048, 126, 116.993, 50.6302, 0.867413
2, AKAZE, FREAK, MAT_BF, SEL_KNN, 1311, 161, 10304, 129, 121.193, 50.5814, 0.88039
3, AKAZE, FREAK, MAT_BF, SEL_KNN, 1351, 155, 9920, 127, 120.497, 51.1326, 0.80213
4, AKAZE, FREAK, MAT_BF, SEL_KNN, 1360, 163, 10432, 121, 120.161, 56.2382, 0.827115
5, AKAZE, FREAK, MAT_BF, SEL_KNN, 1347, 164, 10496, 122, 113.287, 50.424, 0.88564
6, AKAZE, FREAK, MAT_BF, SEL_KNN, 1363, 173, 11072, 133, 127.237, 57.5444, 0.889059
7, AKAZE, FREAK, MAT_BF, SEL_KNN, 1331, 175, 11200, 144, 121.048, 52.1177, 0.968566
8, AKAZE, FREAK, MAT_BF, SEL_KNN, 1357, 177, 11328, 147, 130.702, 53.6983, 0.999449
9, AKAZE, FREAK, MAT_BF, SEL_KNN, 1331, 179, 11456, 138, 127.758, 52.3632, 0.996093
0, AKAZE, AKAZE, MAT_BF, SEL_KNN, 1351, 166, 10126, 0, 129.856, 104.982, 0
1, AKAZE, AKAZE, MAT_BF, SEL_KNN, 1327, 157, 9577, 138, 111.789, 97.5356, 1.01882
2, AKAZE, AKAZE, MAT_BF, SEL_KNN, 1311, 161, 9821, 138, 118.271, 104.12, 1.33389
3, AKAZE, AKAZE, MAT_BF, SEL_KNN, 1351, 155, 9455, 133, 127.742, 109.027, 1.05286
4, AKAZE, AKAZE, MAT_BF, SEL_KNN, 1360, 163, 9943, 127, 127.942, 111.725, 0.931668
5, AKAZE, AKAZE, MAT_BF, SEL_KNN, 1347, 164, 10004, 129, 130.242, 108.771, 0.974927
6, AKAZE, AKAZE, MAT_BF, SEL_KNN, 1363, 173, 10553, 146, 126.618, 111.692, 1.05258
7, AKAZE, AKAZE, MAT_BF, SEL_KNN, 1331, 175, 10675, 147, 124.769, 107.329, 1.54785
8, AKAZE, AKAZE, MAT_BF, SEL_KNN, 1357, 177, 10797, 151, 129.479, 117.734, 1.1855
9, AKAZE, AKAZE, MAT_BF, SEL_KNN, 1331, 179, 10919, 150, 122.355, 114.159, 1.17721
0, AKAZE, SIFT, MAT_BF, SEL_KNN, 1351, 166, 21248, 0, 134.912, 38.5906, 0
1, AKAZE, SIFT, MAT_BF, SEL_KNN, 1327, 157, 20096, 134, 114.151, 36.9298, 1.07886
2, AKAZE, SIFT, MAT_BF, SEL_KNN, 1311, 161, 20608, 134, 118.141, 37.2813, 1.20816
3, AKAZE, SIFT, MAT_BF, SEL_KNN, 1351, 155, 19840, 130, 108.543, 35.2366, 1.01757
4, AKAZE, SIFT, MAT_BF, SEL_KNN, 1360, 163, 20864, 136, 112.945, 37.3345, 1.13218
5, AKAZE, SIFT, MAT_BF, SEL_KNN, 1347, 164, 20992, 137, 122.476, 35.9558, 1.45713
6, AKAZE, SIFT, MAT_BF, SEL_KNN, 1363, 173, 22144, 147, 129.494, 52.6625, 1.16705
7, AKAZE, SIFT, MAT_BF, SEL_KNN, 1331, 175, 22400, 147, 119.759, 50.8712, 1.24292
8, AKAZE, SIFT, MAT_BF, SEL_KNN, 1357, 177, 22656, 154, 131.136, 49.6091, 1.39332
9, AKAZE, SIFT, MAT_BF, SEL_KNN, 1331, 179, 22912, 151, 128.635, 42.1264, 1.36697
0, SIFT, BRISK, MAT_BF, SEL_KNN, 1438, 138, 8768, 0, 176.999, 1.80047, 0
1, SIFT, BRISK, MAT_BF, SEL_KNN, 1371, 132, 8448, 64, 180.655, 1.85128, 0.618218
2, SIFT, BRISK, MAT_BF, SEL_KNN, 1380, 124, 7936, 66, 171.799, 1.68677, 0.650324
3, SIFT, BRISK, MAT_BF, SEL_KNN, 1335, 137, 8768, 62, 174.915, 1.85892, 0.685486
4, SIFT, BRISK, MAT_BF, SEL_KNN, 1305, 134, 8576, 66, 173.001, 2.04263, 0.703109
5, SIFT, BRISK, MAT_BF, SEL_KNN, 1370, 140, 8960, 59, 175.737, 1.88301, 0.796548
6, SIFT, BRISK, MAT_BF, SEL_KNN, 1396, 137, 8768, 64, 175.533, 1.79905, 0.662969
7, SIFT, BRISK, MAT_BF, SEL_KNN, 1382, 148, 9472, 64, 173.063, 1.89155, 0.705919
8, SIFT, BRISK, MAT_BF, SEL_KNN, 1463, 159, 10176, 67, 176.662, 2.03799, 0.780356
9, SIFT, BRISK, MAT_BF, SEL_KNN, 1422, 137, 8768, 80, 170.705, 1.79358, 0.752666
0, SIFT, BRIEF, MAT_BF, SEL_KNN, 1438, 138, 4416, 0, 167.185, 0.804722, 0
1, SIFT, BRIEF, MAT_BF, SEL_KNN, 1371, 132, 4224, 86, 169.001, 0.796765, 0.576767
2, SIFT, BRIEF, MAT_BF, SEL_KNN, 1380, 124, 3968, 78, 167.573, 0.753178, 0.534486
3, SIFT, BRIEF, MAT_BF, SEL_KNN, 1335, 137, 4384, 76, 171.073, 0.794769, 0.536709
4, SIFT, BRIEF, MAT_BF, SEL_KNN, 1305, 134, 4288, 85, 165.438, 0.847262, 0.576808
5, SIFT, BRIEF, MAT_BF, SEL_KNN, 1370, 140, 4480, 69, 176.59, 0.797191, 0.609198
6, SIFT, BRIEF, MAT_BF, SEL_KNN, 1396, 137, 4384, 74, 165.876, 0.792554, 0.62885
7, SIFT, BRIEF, MAT_BF, SEL_KNN, 1382, 148, 4736, 76, 175.159, 0.898515, 0.632094
8, SIFT, BRIEF, MAT_BF, SEL_KNN, 1463, 159, 5088, 70, 170.938, 0.882193, 0.72566
9, SIFT, BRIEF, MAT_BF, SEL_KNN, 1422, 137, 4384, 88, 169.951, 0.794422, 0.664142
0, SIFT, FREAK, MAT_BF, SEL_KNN, 1438, 138, 8768, 0, 170.374, 51.1584, 0
1, SIFT, FREAK, MAT_BF, SEL_KNN, 1371, 132, 8384, 65, 176.494, 52.452, 0.597538
2, SIFT, FREAK, MAT_BF, SEL_KNN, 1380, 124, 7872, 72, 167.462, 52.7025, 0.56594
3, SIFT, FREAK, MAT_BF, SEL_KNN, 1335, 137, 8704, 64, 170.144, 53.6126, 0.59786
4, SIFT, FREAK, MAT_BF, SEL_KNN, 1305, 134, 8512, 66, 165.954, 52.3675, 0.61165
5, SIFT, FREAK, MAT_BF, SEL_KNN, 1370, 140, 8896, 59, 163.337, 50.1211, 1.07537
6, SIFT, FREAK, MAT_BF, SEL_KNN, 1396, 137, 8640, 59, 169.783, 52.1983, 0.639582
7, SIFT, FREAK, MAT_BF, SEL_KNN, 1382, 148, 9408, 64, 167.552, 52.3205, 0.646038
8, SIFT, FREAK, MAT_BF, SEL_KNN, 1463, 159, 10112, 65, 169.353, 52.4763, 0.92611
9, SIFT, FREAK, MAT_BF, SEL_KNN, 1422, 137, 8640, 79, 171.248, 53.0624, 0.682985
0, SIFT, SIFT, MAT_BF, SEL_KNN, 1438, 138, 17664, 0, 168.527, 89.0518, 0
1, SIFT, SIFT, MAT_BF, SEL_KNN, 1371, 132, 16896, 82, 128.344, 89.9866, 0.802177
2, SIFT, SIFT, MAT_BF, SEL_KNN, 1380, 124, 15872, 81, 172.281, 131.15, 0.737308
3, SIFT, SIFT, MAT_BF, SEL_KNN, 1335, 137, 17536, 85, 172.711, 133.261, 0.780397
4, SIFT, SIFT, MAT_BF, SEL_KNN, 1305, 134, 17152, 93, 172.214, 128.987, 0.8072
5, SIFT, SIFT, MAT_BF, SEL_KNN, 1370, 140, 17920, 90, 164.808, 86.0943, 0.821064
6, SIFT, SIFT, MAT_BF, SEL_KNN, 1396, 137, 17536, 81, 126.985, 81.103, 0.864721
7, SIFT, SIFT, MAT_BF, SEL_KNN, 1382, 148, 18944, 82, 135.002, 85.3325, 0.89447
8, SIFT, SIFT, MAT_BF, SEL_KNN, 1463, 159, 20352, 102, 124.746, 86.8719, 1.00685
9, SIFT, SIFT, MAT_BF, SEL_KNN, 1422, 137, 17536, 104, 170.513, 87.7604, 0.947072
