IMAGE, DETECTOR, DESCRIPTOR, MATCHER, SELECTOR, #KEYPOINTS, #KEYPOINTS ON VEHICLE, #DESCRIPTORS, #MATCHED KEYPOINTS, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHER ELAPSED TIME
3, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1358, 120, 15360, 104, 12.2114, 20.4492, 0.73747
4, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1333, 120, 15360, 103, 19.0674, 20.7854, 0.68725
5, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1284, 113, 14464, 99, 12.044, 17.5162, 0.644532
6, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1322, 114, 14592, 101, 20.988, 19.3523, 1.12982
7, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1366, 123, 15744, 96, 11.8047, 18.0465, 0.852446
8, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1389, 111, 14208, 106, 13.8157, 17.2121, 0.629021
9, SHITOMASI, SIFT, MAT_BF, SEL_KNN, 1339, 112, 14336, 97, 19.3449, 19.6905, 0.636717
0, HARRIS, BRISK, MAT_BF, SEL_KNN, 115, 17, 1088, 0, 14.3046, 0.511794, 0
1, HARRIS, BRISK, MAT_BF, SEL_KNN, 98, 14, 896, 12, 13.3742, 0.468759, 0.095834
2, HARRIS, BRISK, MAT_BF, SEL_KNN, 113, 18, 1152, 10, 13.9593, 0.528032, 0.094695
3, HARRIS, BRISK, MAT_BF, SEL_KNN, 121, 21, 1344, 14, 13.4343, 0.570768, 0.092598
4, HARRIS, BRISK, MAT_BF, SEL_KNN, 160, 26, 1664, 15, 14.7048, 0.628636, 0.095058
5, HARRIS, BRISK, MAT_BF, SEL_KNN, 383, 43, 2752, 16, 32.6504, 0.80257, 0.123916
6, HARRIS, BRISK, MAT_BF, SEL_KNN, 85, 18, 1152, 16, 13.5428, 0.659555, 0.168907
7, HARRIS, BRISK, MAT_BF, SEL_KNN, 210, 31, 1984, 15, 15.8275, 0.663803, 0.108206
8, HARRIS, BRISK, MAT_BF, SEL_KNN, 171, 26, 1664, 23, 14.6416, 0.614102, 0.171914
9, HARRIS, BRISK, MAT_BF, SEL_KNN, 281, 34, 2176, 21, 21.0627, 0.710313, 0.138286
0, HARRIS, BRIEF, MAT_BF, SEL_KNN, 115, 17, 544, 0, 13.4962, 0.317456, 0
1, HARRIS, BRIEF, MAT_BF, SEL_KNN, 98, 14, 448, 14, 14.3583, 0.313596, 0.070065
2, HARRIS, BRIEF, MAT_BF, SEL_KNN, 113, 18, 576, 11, 15.8472, 0.356451, 0.080642
3, HARRIS, BRIEF, MAT_BF, SEL_KNN, 121, 21, 672, 15, 14.2773, 0.341778, 0.091833
4, HARRIS, BRIEF, MAT_BF, SEL_KNN, 160, 26, 832, 20, 13.439, 0.366988, 0.101268
5, HARRIS, BRIEF, MAT_BF, SEL_KNN, 383, 43, 1376, 24, 29.5833, 0.533046, 0.138294
6, HARRIS, BRIEF, MAT_BF, SEL_KNN, 85, 18, 576, 26, 12.5989, 0.319473, 0.115434
7, HARRIS, BRIEF, MAT_BF, SEL_KNN, 210, 31, 992, 16, 14.6287, 0.402517, 0.091346
8, HARRIS, BRIEF, MAT_BF, SEL_KNN, 171, 26, 832, 24, 14.8553, 0.411414, 0.114137
9, HARRIS, BRIEF, MAT_BF, SEL_KNN, 281, 34, 1088, 23, 20.6545, 0.426534, 0.112193
0, HARRIS, ORB, MAT_BF, SEL_KNN, 115, 17, 544, 0, 13.476, 1.27676, 0
1, HARRIS, ORB, MAT_BF, SEL_KNN, 98, 14, 448, 12, 12.8485, 0.837802, 0.087021
2, HARRIS, ORB, MAT_BF, SEL_KNN, 113, 18, 576, 12, 15.8145, 1.05541, 0.08679
3, HARRIS, ORB, MAT_BF, SEL_KNN, 121, 21, 672, 15, 16.2595, 0.839444, 0.102067
4, HARRIS, ORB, MAT_BF, SEL_KNN, 160, 26, 832, 18, 14.6643, 1.16905, 0.11209
5, HARRIS, ORB, MAT_BF, SEL_KNN, 383, 43, 1376, 24, 29.3829, 0.933217, 0.142483
6, HARRIS, ORB, MAT_BF, SEL_KNN, 85, 18, 576, 20, 13.9787, 1.45367, 0.141394
7, HARRIS, ORB, MAT_BF, SEL_KNN, 210, 31, 992, 15, 16.6737, 1.02681, 0.109977
8, HARRIS, ORB, MAT_BF, SEL_KNN, 171, 26, 832, 24, 13.6572, 0.828026, 0.12445
9, HARRIS, ORB, MAT_BF, SEL_KNN, 281, 34, 1088, 22, 20.5759, 0.884179, 0.11963
0, HARRIS, FREAK, MAT_BF, SEL_KNN, 115, 17, 1088, 0, 12.6294, 47.097, 0
1, HARRIS, FREAK, MAT_BF, SEL_KNN, 98, 14, 896, 13, 14.9741, 48.8645, 0.078326
2, HARRIS, FREAK, MAT_BF, SEL_KNN, 113, 18, 1152, 13, 13.7635, 49.3544, 0.076674
3, HARRIS, FREAK, MAT_BF, SEL_KNN, 121, 21, 1344, 15, 14.0134, 48.9504, 0.085651
4, HARRIS, FREAK, MAT_BF, SEL_KNN, 160, 26, 1664, 15, 13.9957, 48.0485, 0.097884
5, HARRIS, FREAK, MAT_BF, SEL_KNN, 383, 43, 2752, 17, 35.1332, 47.8776, 0.129672
6, HARRIS, FREAK, MAT_BF, SEL_KNN, 85, 18, 1152, 20, 14.5, 48.1997, 0.115688
7, HARRIS, FREAK, MAT_BF, SEL_KNN, 210, 31, 1984, 12, 17.0949, 47.437, 0.095769
8, HARRIS, FREAK, MAT_BF, SEL_KNN, 171, 26, 1664, 21, 14.8558, 50.8125, 0.119439
9, HARRIS, FREAK, MAT_BF, SEL_KNN, 281, 34, 2176, 18, 22.2056, 48.9662, 0.10891
0, HARRIS, SIFT, MAT_BF, SEL_KNN, 115, 17, 2176, 0, 15.4848, 16.0065, 0
1, HARRIS, SIFT, MAT_BF, SEL_KNN, 98, 14, 1792, 14, 13.8903, 16.4566, 0.060642
2, HARRIS, SIFT, MAT_BF, SEL_KNN, 113, 18, 2304, 11, 14.1299, 14.5207, 0.0601
3, HARRIS, SIFT, MAT_BF, SEL_KNN, 121, 21, 2688, 16, 18.8536, 17.2589, 0.075514
4, HARRIS, SIFT, MAT_BF, SEL_KNN, 160, 26, 3328, 19, 14.3112, 18.3004, 0.09011
5, HARRIS, SIFT, MAT_BF, SEL_KNN, 383, 43, 5504, 22, 31.1776, 18.1475, 0.128846
6, HARRIS, SIFT, MAT_BF, SEL_KNN, 85, 18, 2304, 22, 15.8274, 15.3309, 0.125074
7, HARRIS, SIFT, MAT_BF, SEL_KNN, 210, 31, 3968, 13, 21.174, 18.5345, 0.097596
8, HARRIS, SIFT, MAT_BF, SEL_KNN, 171, 26, 3328, 24, 15.1164, 15.0759, 0.114816
9, HARRIS, SIFT, MAT_BF, SEL_KNN, 281, 34, 4352, 22, 20.5083, 16.8746, 0.10938
0, FAST, BRISK, MAT_BF, SEL_KNN, 1824, 149, 9536, 0, 1.04627, 2.9392, 0
1, FAST, BRISK, MAT_BF, SEL_KNN, 1832, 152, 9728, 97, 1.31968, 2.77088, 0.743599
2, FAST, BRISK, MAT_BF, SEL_KNN, 1810, 150, 9600, 104, 1.38398, 1.92582, 0.753236
3, FAST, BRISK, MAT_BF, SEL_KNN, 1817, 155, 9920, 101, 1.31629, 2.04002, 0.79381
4, FAST, BRISK, MAT_BF, SEL_KNN, 1793, 149, 9536, 98, 1.33089, 2.74322, 0.747047
5, FAST, BRISK, MAT_BF, SEL_KNN, 1796, 149, 9536, 85, 1.2812, 1.95628, 0.742436
6, FAST, BRISK, MAT_BF, SEL_KNN, 1788, 156, 9984, 107, 1.30416, 2.01825, 0.784546
7, FAST, BRISK, MAT_BF, SEL_KNN, 1695, 150, 9600, 107, 1.28095, 1.94208, 0.76365
8, FAST, BRISK, MAT_BF, SEL_KNN, 1749, 138, 8832, 100, 1.31006, 1.76982, 0.696185
9, FAST, BRISK, MAT_BF, SEL_KNN, 1770, 143, 9152, 100, 1.33414, 1.88312, 0.659853
0, FAST, BRIEF, MAT_BF, SEL_KNN, 1824, 149, 4768, 0, 1.36985, 0.80825, 0
1, FAST, BRIEF, MAT_BF, SEL_KNN, 1832, 152, 4864, 119, 0.919482, 0.789406, 0.704987
2, FAST, BRIEF, MAT_BF, SEL_KNN, 1810, 150, 4800, 130, 1.36115, 1.29577, 0.705848
3, FAST, BRIEF, MAT_BF, SEL_KNN, 1817, 155, 4960, 118, 0.931742, 0.830684, 0.700517
4, FAST, BRIEF, MAT_BF, SEL_KNN, 1793, 149, 4768, 126, 0.902624, 0.780261, 0.696837
5, FAST, BRIEF, MAT_BF, SEL_KNN, 1796, 149, 4768, 108, 1.23734, 0.806458, 0.694209
6, FAST, BRIEF, MAT_BF, SEL_KNN, 1788, 156, 4992, 123, 0.893411, 0.79135, 0.724866
7, FAST, BRIEF, MAT_BF, SEL_KNN, 1695, 150, 4800, 131, 1.33006, 1.28238, 0.724109
8, FAST, BRIEF, MAT_BF, SEL_KNN, 1749, 138, 4416, 125, 0.88246, 0.721323, 0.628698
9, FAST, BRIEF, MAT_BF, SEL_KNN, 1770, 143, 4576, 119, 0.955788, 0.768545, 0.600421
0, FAST, ORB, MAT_BF, SEL_KNN, 1824, 149, 4768, 0, 1.10834, 1.70048, 0
1, FAST, ORB, MAT_BF, SEL_KNN, 1832, 152, 4864, 118, 0.933962, 1.09889, 0.762184
2, FAST, ORB, MAT_BF, SEL_KNN, 1810, 150, 4800, 123, 0.923797, 1.0194, 0.779019
3, FAST, ORB, MAT_BF, SEL_KNN, 1817, 155, 4960, 112, 0.885295, 1.03743, 0.776842
4, FAST, ORB, MAT_BF, SEL_KNN, 1793, 149, 4768, 126, 0.927139, 1.01941, 0.748135
5, FAST, ORB, MAT_BF, SEL_KNN, 1796, 149, 4768, 106, 0.950965, 1.61855, 0.711524
6, FAST, ORB, MAT_BF, SEL_KNN, 1788, 156, 4992, 122, 0.890818, 1.03676, 0.815369
7, FAST, ORB, MAT_BF, SEL_KNN, 1695, 150, 4800, 122, 0.892906, 1.04013, 0.763511
8, FAST, ORB, MAT_BF, SEL_KNN, 1749, 138, 4416, 123, 1.3696, 1.60501, 0.72486
9, FAST, ORB, MAT_BF, SEL_KNN, 1770, 143, 4576, 119, 1.01361, 1.07466, 0.674941
0, FAST, FREAK, MAT_BF, SEL_KNN, 1824, 149, 9536, 0, 0.915489, 52.7114, 0
1, FAST, FREAK, MAT_BF, SEL_KNN, 1832, 152, 9728, 98, 0.938052, 53.1829, 0.721462
